Time,201Hg,202Hg
,R1-15 Blank-1    3/12/2004 8:21:53 PM    (Run: 1),
0,2150.000,3750.000
83,3050.000,3325.000
166,2650.000,2925.000
249,2175.000,3175.000
332,2300.000,3275.000
415,2775.000,2750.000
498,2350.000,3225.000
581,2550.000,2975.000
664,2375.000,2925.000
747,2575.000,2950.000
830,2925.000,2800.000
913,2700.000,2550.000
996,2600.000,2975.000
1079,2650.000,2925.000
1162,2700.000,2925.000
1245,2475.000,3175.000
1328,2500.000,3225.000
1411,2050.000,3025.000
1494,2600.000,2975.000
1577,2800.000,2975.000
1660,2300.000,2650.000
1743,2300.000,2825.000
1826,2575.000,3100.000
1909,2500.000,2775.000
1992,2175.000,2775.000
2075,2775.000,2725.000
2158,2800.000,3275.000
2241,2625.000,3475.000
2324,2875.000,3425.000
2407,2650.000,3000.000
2490,2500.000,3000.000
2573,2925.000,2400.000
2656,2800.000,2975.000
2739,2750.000,3000.000
2822,2425.000,2875.000
2905,2825.000,3175.000
2988,2500.000,2925.000
3071,2750.000,3375.000
3154,2425.000,2950.000
3237,2450.000,3400.000
3320,2525.000,3125.000
3403,2325.000,3025.000
3486,2900.000,2950.000
3569,2300.000,3400.000
3652,2150.000,3325.000
3735,2200.000,3475.000
3818,2775.000,2950.000
3901,2300.000,3625.000
3984,2425.000,2825.000
4067,2425.000,3300.000
4150,2525.000,3425.000
4233,2875.000,3425.000
4316,2375.000,2925.000
4399,2675.000,3125.000
4482,2925.000,2675.000
4565,2125.000,2600.000
4648,2400.000,2775.000
4731,2075.000,3275.000
4814,2450.000,3000.000
4897,2925.000,3400.000
4980,2625.000,2925.000
5063,2850.000,2650.000
5146,2800.000,2725.000
5229,2175.000,3775.000
5312,2425.000,3250.000
5395,2400.000,2825.000
5478,2075.000,2625.000
5561,2325.000,2825.000
5644,2400.000,2925.000
5727,2900.000,3525.000
5810,2950.000,2950.000
5893,2300.000,3050.000
5976,2175.000,3300.000
6059,2400.000,2750.000
6142,2750.000,2700.000
